user_id,service_type_id,count
2,508,1
9,8,1
12,399,1
24,522,39
29,57,1
42,1,1
42,34,1
42,57,2
61,33,1
116,15,1
116,31,1
117,508,1
136,57,1
136,522,4
144,33,1
144,109,1
144,112,1
145,48,1
147,22,1
147,27,1
147,106,2
152,512,1
157,48,1
173,55,1
173,93,1
184,102,1
195,399,1
200,57,1
204,67,1
209,57,1
209,120,1
226,522,1
226,524,1
233,327,2
240,126,1
240,153,1
240,399,1
240,415,1
250,1,1
253,522,1
269,57,5
269,102,1
269,522,3
280,1,1
285,58,1
287,28,1
287,61,1
287,87,2
287,406,1
287,508,2
287,517,1
287,524,1
287,595,7
288,1,4
288,2,3
288,3,2
288,6,1
288,9,1
288,11,1
288,15,1
288,17,1
288,20,1
288,21,1
288,22,1
288,27,1
288,31,2
288,48,1
288,57,1
288,59,1
288,63,1
288,109,1
288,126,1
288,153,3
288,379,1
288,481,1
288,508,1
288,522,38
288,619,1
288,636,8
289,1,2
289,2,1
289,5,1
289,7,2
289,15,1
289,22,2
289,31,1
289,57,4
289,58,1
290,1,2
290,9,2
290,15,1
290,19,2
290,25,1
290,52,1
290,70,1
290,126,1
290,416,1
290,508,1
301,59,1
302,522,1
313,108,1
313,125,1
318,96,1
318,98,1
322,8,1
322,11,1
322,22,1
323,57,1
323,108,1
334,1,1
334,33,1
334,178,1
337,33,1
364,7,1
364,15,4
364,106,1
365,11,1
365,21,1
365,126,1
367,6,1
367,65,2
367,67,1
368,34,1
368,57,2
369,1,1
369,2,1
373,125,1
374,29,1
388,106,1
388,113,1
388,153,1
408,1,1
412,99,1
413,71,1
418,15,1
418,20,1
418,21,1
418,33,1
418,52,1
418,57,3
418,108,1
418,113,1
418,255,1
418,399,1
424,96,1
424,124,1
429,1,1
429,106,1
434,1,1
434,164,1
437,544,1
438,102,2
444,544,1
449,27,1
449,29,1
449,106,1
449,605,1
461,1,2
461,2,1
461,6,1
461,32,1
461,57,1
461,59,1
461,96,1
461,421,1
461,517,1
463,225,1
470,48,1
470,49,1
470,115,1
472,57,1
472,59,1
472,139,1
480,48,1
484,1,1
494,156,1
507,33,1
516,1,2
517,1,5
517,10,1
517,25,1
517,102,1
517,106,2
517,508,1
522,102,2
522,129,1
527,33,1
532,33,1
532,52,1
532,180,1
532,520,1
543,57,1
544,223,1
545,44,1
547,11,1
547,27,1
547,153,1
547,522,4
551,57,1
551,65,1
554,397,1
557,65,1
569,62,1
570,22,1
581,33,1
586,57,1
590,57,1
593,234,1
598,3,1
598,6,2
598,15,3
598,20,1
598,22,2
598,23,1
601,11,2
601,33,2
604,56,1
615,22,1
615,108,3
617,29,1
621,59,1
621,65,1
625,34,1
625,57,4
625,374,1
626,27,1
639,50,1
639,115,1
640,6,1
641,1,1
641,22,1
641,33,1
648,29,1
651,1,1
651,57,1
651,59,1
656,2,1
656,106,1
656,130,1
674,1,1
674,22,1
678,1,1
678,515,1
692,33,1
693,112,1
702,1,3
702,3,1
702,6,2
702,11,1
702,22,1
702,34,1
702,125,3
702,510,1
702,520,1
708,1,1
714,44,1
718,57,1
718,102,1
722,22,1
731,7,1
735,11,1
735,102,1
735,399,1
735,481,1
739,33,1
739,57,1
739,59,1
739,102,1
742,51,1
747,6,1
750,126,1
754,1,1
759,11,1
