,id,name,slug,created_at,updated_at,keywords,deleted_at,searchable,franchise,New_id
0,556,12.12 Aircond Servicing (1 Unit),12-12-aircond-servicing-1-unit,19:30.8,27:46.8,12.12 Aircond Servicing (1 Unit),,f,,508.0
1,557,12.12 Aircond Servicing (2 Units),12-12-aircond-servicing-2-units,19:44.6,27:53.7,12.12 Aircond Servicing (2 Units),,f,,508.0
2,558,12.12 Local Moving (1 Tonne),12-12-local-moving-1-tonne,26:11.6,28:00.3,12.12 Local Moving (1 Tonne),,f,,403.0
3,559,12.12 Local Moving (3 Tonne),12-12-local-moving-3-tonne,26:27.2,28:08.1,12.12 Local Moving (3 Tonne),,f,,403.0
4,560,12.12. Move In / Move Out / Thorough Cleaning (below 1000 sqft),12-12-move-in-move-out-thorough-cleaning-below-1000-sqft,26:37.4,28:16.9,12.12. Move In / Move Out / Thorough Cleaning (below 1000 sqft),,f,,22.0
5,561,12.12. Move In / Move Out / Thorough Cleaning (below 2000 sqft),12-12-move-in-move-out-thorough-cleaning-below-2000-sqft,27:32.1,28:43.2,12.12. Move In / Move Out / Thorough Cleaning (below 2000 sqft),,f,,22.0
6,7,3 Phase Wiring,3-phase-wiring,1/11/2014 21:25,13:29.7,electrician wireman 3 Phase Wiring Install Wiring Defective Wiring Move Power Point Fuse Box Plug Air Conditioning Kipas Hot Water Light Fuse Drop Tv Repair Oven Repair Refrigerator Repair Appliance Repair Wiring Problem Move Plug Point Fridge New Power Point Air Con Install Fan Heater Install Lights Fuse Down Washing Machine Repair Dryer Repair Wiring Problem Rewire Electrician Electrical Electricity General Handyman General Contracting Handyman Handyman Contractor,,t,f,7.0
7,307,Acting,acting,3/12/2015 16:21,04:46.6,Acting  ,31/3/2016 6:38,f,,307.0
8,278,Action / Sports Photography,action-sports-photography,3/12/2015 16:21,04:46.6,Action / Sports Photography  ,29/11/2016 10:04,f,,51.0
9,279,Action / Sports Videography,action-sports-videography,3/12/2015 16:21,04:46.6,Action / Sports Videography  ,29/11/2016 10:04,f,,55.0
10,48,Actual Day Wedding Photography,actual-day-wedding-engagement-photography,1/11/2014 21:25,54:23.7,Actual Day Wedding / Engagement Photography Bride Bridal Marry Marriage Married Rom Registration Of Marriage Tea Ceremony Church Reception Lunch Reception Dinner Reception Sangeet Ceremony Mehndi Ceremony Nikah Ceremony Photographer Picture Image Ceremonies Portraits Portraiture Beach Casual Elegant Simple Indoor Outdoor Take Photo Take Picture Beautiful Register Couple Take Photo Take Picture Pretty Bride And Groom Photo Edits Photo Album Photo Printing Album Printing Photo Frame Picture Frame Studio Studio Photograph Candid Photograph Capture Moment Photographer Professional Photographer Jurugambar Gambar Kahwin Chip San Leong Jip San Leong Gate Crash Heng Tai,,t,f,51.0
11,526,Actual Day Wedding Photography (10 hours),actual-day-wedding-photography-10-hours,07:03.3,07:12.7,Actual Day Wedding Photography (10 hours),,f,,51.0
12,529,Actual Day Wedding Photography (12 hours),actual-day-wedding-photography-12-hours,11:22.8,11:34.0,Actual Day Wedding Photography (12 hours),,f,,51.0
13,528,Actual Day Wedding Photography (4 hours),actual-day-wedding-photography-4-hours,10:38.1,10:50.2,Actual Day Wedding Photography (4 hours),,f,,51.0
14,527,Actual Day Wedding Photography (5 hours),actual-day-wedding-photography-5-hours,09:55.1,10:03.8,Actual Day Wedding Photography (5 hours),,f,,51.0
15,53,Actual Day Wedding Videography,actual-day-wedding-engagement-videography,1/11/2014 21:25,04:46.6,Actual Day Wedding / Engagement Videography Bride Bridal Marry Marriage Married Rom Registration Of Marriage Tea Ceremony Church Reception Lunch Reception Dinner Reception Sangeet Ceremony Mehndi Ceremony Nikah Ceremony Videographer Picture Image Ceremonies Portraits Portraiture Beach Casual Elegant Simple Indoor Outdoor Take Video Beautiful Register Couple Take Video Pretty Bride And Groom Video Edits Studio Studio Videography Candid Videography Motion Capture Recording Moment Film Professional Video Wedding Video Engagement Video ,,t,,55.0
16,353,Acupuncture,accupuncture,3/12/2015 16:21,04:46.6,Accupuncture  ,29/11/2016 10:05,f,,353.0
17,308,Adobe,adobe,3/12/2015 16:21,04:46.6,Adobe  ,29/11/2016 10:04,f,,308.0
18,140,Advertising Photography,advertising-photography,11/7/2015 5:12,04:46.6,Commercial Photography,26/7/2015 11:37,f,,51.0
19,280,Aerial Photography,aerial-photography,3/12/2015 16:21,04:46.6,Aerial Photography  ,29/11/2016 10:04,f,,51.0
20,281,Aerial Videography,aerial-videography,3/12/2015 16:21,04:46.6,Aerial Videography  ,29/11/2016 10:05,f,,55.0
21,70,Aerobic Fitness,aerobic-fitness,1/11/2014 21:25,04:46.6,Aerobic Fitness Cardiovascular Aerobic Fit Fitness Gym Exercise Cardio Personal Trainer Instructor Health Training Sports Coach Running Athletic Trainer Professional Trainer Lose Weight Weight Loss Get Fit Slimming ,,f,,70.0
22,59,"After Renovation, Moving Out, Thorough Cleaning",moving-in-out-after-renovation-thorough-cleaning,1/11/2014 21:25,10:29.6,hometafter renovation thorough in out housetofficetoffice block spring cleaning springcleantoffice lottoffice buildingtshoptshop lottmenaratworktworkspacetworking placetworking areatindustrialtindustrytfactorytwashingtwashoutttidythousekeepthousekeepingtroomtmaintaintmaintenancetscrubtscrubbingtupkeeptbuildtbuildingtbuilding cleaningtdirttdirtytkotortconstructtconstructiontdebristwastetdisposaltonetone offtone timetone time cleantcompletetcomplete cleaningtbigtbig cleantbig cleaningtcleanuptmesstmessytarrangetorganizetfurnituretappliancetappliancestdusttdustytcleaningtcleanerstprofessional cleaners,,f,,22.0
